variant,age,time_on_site,device,converted
A,35,133.74,Mobile,0
A,53,109.68,Mobile,0
A,58,62.88,Mobile,0
A,46,106.07,Desktop,0
A,56,87.66,Desktop,0
A,19,96.84,Desktop,1
B,28,74.76,Desktop,0
A,48,91.61,Mobile,0
B,21,90.29,Desktop,0
B,46,102.31,Mobile,0
B,20,102.17,Mobile,0
A,19,78.46,Desktop,1
A,53,66.91,Mobile,0
A,31,67.16,Mobile,0
A,21,69.14,Mobile,0
B,47,104.76,Mobile,0
A,36,105.98,Mobile,0
A,36,108.27,Mobile,0
A,48,71.82,Desktop,0
A,32,83.88,Mobile,0
A,46,82.82,Mobile,0
B,20,100.79,Desktop,0
A,36,102.91,Mobile,1
B,39,115.92,Desktop,0
A,37,96.78,Mobile,0
B,24,161.89,Desktop,0
A,21,118.26,Desktop,0
A,18,88.7,Desktop,0
B,58,88.03,Mobile,0
B,24,110.71,Mobile,0
B,39,88.74,Desktop,0
A,54,84.75,Mobile,0
B,47,91.02,Desktop,0
A,26,104.0,Desktop,0
A,44,105.51,Desktop,0
B,55,60.16,Desktop,1
B,40,87.86,Mobile,0
A,29,121.65,Mobile,0
A,30,146.52,Mobile,0
B,50,99.3,Mobile,0
B,32,103.77,Desktop,0
B,33,97.86,Mobile,0
A,51,126.31,Mobile,0
A,26,85.3,Desktop,0
A,59,123.49,Mobile,0
A,44,127.71,Mobile,1
A,32,120.63,Mobile,0
A,52,94.83,Desktop,0
B,51,106.47,Mobile,1
A,57,128.72,Desktop,0
A,47,111.67,Mobile,0
A,40,63.1,Mobile,0
B,26,101.73,Desktop,0
A,49,82.86,Mobile,0
A,52,109.59,Desktop,0
B,49,104.54,Mobile,0
A,33,81.07,Desktop,0
A,49,115.54,Mobile,0
A,42,98.66,Mobile,0
A,47,97.19,Mobile,0
A,54,96.79,Mobile,0
B,54,99.32,Mobile,0
B,52,102.33,Desktop,0
B,25,112.19,Mobile,0
A,57,96.8,Desktop,0
A,53,109.33,Desktop,0
A,42,117.67,Mobile,0
B,35,127.12,Desktop,0
A,56,83.62,Desktop,0
A,27,81.51,Mobile,0
B,18,74.54,Mobile,1
A,21,92.0,Mobile,0
B,43,115.38,Desktop,0
B,28,63.16,Desktop,1
B,32,83.71,Mobile,1
A,49,80.4,Desktop,1
A,32,98.63,Desktop,0
A,45,119.15,Mobile,0
A,40,79.53,Desktop,0
A,20,118.5,Mobile,0
A,49,133.29,Desktop,0
A,37,117.41,Desktop,0
B,31,88.62,Desktop,0
A,52,64.13,Desktop,0
B,57,109.72,Mobile,0
A,59,116.35,Desktop,0
A,26,100.67,Mobile,0
A,41,132.63,Desktop,0
B,58,48.3,Desktop,0
B,21,102.29,Mobile,0
B,29,119.77,Desktop,1
B,41,119.86,Desktop,0
A,18,86.45,Mobile,0
B,31,91.09,Mobile,0
A,48,124.88,Mobile,0
A,27,96.24,Mobile,0
B,50,109.05,Mobile,0
B,53,88.79,Desktop,1
B,59,79.0,Mobile,0
B,52,113.48,Mobile,0
B,35,91.09,Mobile,0
B,42,97.49,Mobile,0
B,29,99.8,Desktop,0
B,45,87.71,Mobile,0
A,26,70.03,Mobile,0
B,41,97.76,Desktop,0
B,37,96.62,Mobile,0
A,43,87.28,Mobile,0
B,22,98.73,Mobile,0
A,44,127.0,Desktop,0
A,45,55.78,Desktop,0
B,54,52.24,Desktop,0
A,57,111.86,Mobile,0
A,24,89.01,Desktop,0
A,36,83.58,Desktop,0
A,39,120.69,Mobile,0
B,35,110.61,Mobile,0
A,32,88.38,Mobile,0
B,50,106.06,Mobile,0
A,56,77.13,Mobile,0
A,22,75.99,Mobile,0
A,57,98.81,Mobile,0
A,54,93.76,Desktop,0
B,22,101.31,Desktop,0
B,54,79.46,Mobile,1
A,24,99.63,Mobile,0
A,19,102.61,Mobile,0
B,47,99.35,Desktop,0
A,28,71.19,Mobile,0
A,54,74.82,Mobile,0
A,56,133.22,Desktop,0
B,50,58.17,Mobile,1
B,26,116.14,Desktop,0
B,28,90.56,Mobile,0
A,29,95.78,Desktop,0
A,27,78.06,Mobile,0
B,28,59.52,Desktop,1
B,50,102.71,Mobile,0
B,37,88.07,Mobile,0
B,22,104.11,Desktop,0
A,41,110.4,Desktop,0
B,49,123.09,Mobile,0
A,48,107.4,Desktop,0
B,59,110.46,Mobile,0
A,31,95.68,Desktop,1
B,36,50.84,Mobile,0
B,59,118.1,Desktop,0
B,41,87.59,Mobile,0
B,49,55.4,Desktop,0
A,29,91.82,Desktop,0
B,38,66.02,Desktop,0
A,53,97.43,Desktop,0
A,42,108.35,Desktop,1
A,31,94.25,Desktop,0
A,25,103.23,Mobile,1
B,46,100.83,Desktop,0
A,42,130.06,Mobile,1
A,40,101.72,Mobile,0
A,53,85.26,Mobile,1
B,29,90.32,Desktop,0
B,29,93.89,Desktop,0
B,35,85.64,Desktop,1
B,53,68.81,Desktop,0
A,36,80.22,Desktop,0
A,52,88.27,Desktop,0
B,44,88.18,Desktop,0
A,20,117.48,Mobile,0
A,30,124.26,Mobile,0
A,55,108.06,Mobile,0
B,58,105.2,Mobile,1
B,36,97.02,Mobile,0
A,52,117.74,Desktop,1
B,32,111.27,Mobile,0
B,33,116.6,Desktop,0
B,52,61.12,Mobile,0
B,22,144.44,Mobile,1
B,24,75.47,Desktop,0
A,38,106.57,Mobile,0
B,58,95.5,Desktop,0
A,18,76.17,Desktop,1
A,42,87.06,Desktop,1
B,47,102.16,Mobile,0
A,36,83.93,Desktop,0
A,41,94.12,Desktop,0
A,32,93.66,Desktop,0
B,52,78.63,Mobile,0
B,41,91.51,Mobile,0
A,53,119.14,Desktop,0
B,31,81.88,Desktop,0
B,39,120.38,Desktop,0
B,56,68.33,Mobile,0
B,25,93.22,Mobile,0
A,33,117.05,Mobile,0
A,34,113.87,Desktop,0
B,22,135.64,Desktop,0
B,58,93.4,Desktop,0
A,52,91.2,Mobile,0
A,54,60.98,Mobile,0
B,35,86.65,Mobile,0
A,38,98.71,Desktop,0
B,59,116.67,Mobile,0
B,18,46.64,Mobile,0
A,34,83.9,Mobile,0
A,25,121.21,Mobile,0
B,46,110.61,Mobile,0
B,37,72.54,Mobile,1
A,54,115.35,Mobile,1
B,56,109.82,Desktop,0
A,22,133.54,Desktop,0
B,27,104.21,Mobile,0
A,23,109.87,Desktop,0
A,24,122.86,Desktop,0
A,52,99.04,Desktop,0
B,44,115.36,Desktop,0
B,59,85.2,Desktop,0
A,38,82.7,Desktop,0
B,41,126.52,Desktop,0
A,46,84.17,Mobile,0
A,44,114.39,Desktop,1
B,55,101.87,Desktop,0
B,19,98.0,Mobile,0
A,42,118.71,Desktop,0
B,19,107.51,Desktop,0
B,55,98.34,Desktop,0
A,35,105.21,Mobile,0
A,59,99.8,Desktop,0
B,24,108.11,Mobile,0
A,21,94.53,Mobile,0
A,57,116.48,Mobile,1
B,58,73.43,Mobile,1
A,27,89.39,Desktop,0
A,58,113.86,Mobile,1
B,45,74.45,Mobile,0
B,47,149.36,Mobile,0
A,41,88.36,Desktop,0
A,53,96.66,Mobile,0
B,33,86.37,Mobile,0
B,50,103.96,Mobile,0
B,27,90.61,Mobile,0
B,38,130.72,Mobile,0
A,44,88.11,Desktop,0
B,38,108.74,Desktop,0
B,44,95.08,Desktop,0
A,49,92.24,Desktop,0
B,22,103.88,Desktop,0
A,52,78.22,Mobile,0
B,39,83.42,Mobile,0
B,53,107.11,Mobile,0
B,27,99.25,Mobile,0
A,51,99.57,Mobile,0
A,23,128.88,Mobile,0
B,31,115.83,Desktop,0
A,54,82.34,Desktop,0
A,36,87.14,Mobile,0
A,49,78.91,Desktop,0
A,37,84.13,Mobile,0
A,38,119.38,Mobile,1
A,32,121.46,Desktop,0
B,34,85.11,Desktop,0
B,41,102.08,Desktop,0
A,38,97.31,Desktop,0
B,32,108.13,Desktop,0
B,28,110.44,Desktop,0
B,54,111.05,Desktop,0
B,47,79.46,Desktop,0
A,35,83.42,Desktop,0
B,45,56.98,Mobile,0
B,30,110.64,Desktop,0
A,27,108.64,Desktop,1
A,56,119.17,Mobile,0
B,29,52.25,Mobile,0
B,55,110.5,Mobile,0
B,58,71.69,Desktop,0
B,57,113.52,Mobile,1
B,43,137.23,Desktop,0
B,36,118.71,Mobile,0
A,40,84.05,Desktop,1
B,53,135.57,Mobile,0
B,44,97.28,Desktop,0
A,33,85.68,Mobile,0
A,24,101.71,Mobile,1
A,30,118.48,Desktop,0
A,29,97.75,Mobile,0
B,44,91.78,Mobile,0
B,50,70.4,Mobile,0
B,48,115.59,Mobile,0
B,28,106.43,Mobile,0
B,34,74.24,Mobile,0
B,55,82.75,Desktop,0
A,19,145.31,Mobile,0
B,20,104.83,Mobile,0
A,51,91.75,Desktop,0
A,49,87.98,Desktop,0
B,41,128.18,Desktop,0
A,41,99.77,Desktop,1
B,30,108.44,Mobile,0
A,39,105.69,Mobile,0
B,36,138.97,Mobile,0
A,47,85.49,Desktop,0
B,56,76.15,Mobile,0
B,38,102.0,Mobile,1
B,40,109.69,Desktop,0
B,33,100.02,Desktop,0
B,59,86.57,Desktop,0
A,24,77.04,Mobile,0
A,37,68.79,Desktop,0
A,59,109.37,Desktop,0
B,31,58.3,Mobile,0
A,43,106.78,Desktop,0
B,39,95.42,Desktop,1
B,58,131.79,Mobile,1
A,53,111.31,Mobile,0
A,43,142.09,Mobile,0
B,29,105.39,Mobile,0
A,48,69.6,Desktop,0
B,57,84.9,Desktop,0
B,21,31.32,Mobile,0
B,57,109.34,Desktop,1
B,44,126.24,Mobile,0
B,26,90.5,Mobile,0
A,29,80.27,Desktop,0
A,46,120.14,Mobile,0
B,45,128.43,Desktop,0
B,33,112.89,Desktop,0
A,25,112.36,Desktop,0
A,30,78.28,Mobile,0
B,31,78.62,Desktop,0
A,32,76.57,Mobile,0
B,26,97.31,Desktop,0
A,49,73.58,Desktop,0
B,39,113.49,Desktop,0
A,42,103.72,Mobile,0
B,58,104.24,Desktop,0
A,43,137.7,Desktop,0
A,46,147.19,Mobile,0
B,35,124.96,Mobile,0
A,53,119.91,Mobile,0
B,37,82.76,Desktop,1
A,50,96.78,Desktop,0
B,37,143.29,Desktop,0
A,20,109.81,Mobile,0
B,51,91.98,Desktop,1
A,23,88.8,Mobile,0
B,48,88.82,Desktop,0
A,52,112.16,Desktop,0
B,49,91.17,Desktop,1
B,59,101.73,Mobile,0
B,26,93.44,Desktop,0
A,44,95.13,Desktop,0
B,41,97.36,Mobile,0
A,39,87.53,Desktop,0
B,47,92.51,Mobile,0
A,53,113.98,Desktop,0
B,43,79.1,Mobile,0
A,19,95.45,Mobile,0
A,59,124.54,Desktop,0
B,24,78.23,Desktop,0
A,44,52.58,Desktop,0
A,33,68.48,Desktop,0
B,46,96.56,Mobile,0
A,38,93.71,Desktop,0
A,43,129.83,Mobile,0
A,35,115.43,Mobile,0
B,18,121.95,Desktop,0
A,19,101.74,Desktop,0
B,31,88.59,Desktop,0
A,55,124.29,Desktop,0
A,32,90.28,Desktop,0
A,53,89.81,Desktop,0
B,41,86.35,Mobile,0
A,42,118.34,Desktop,0
A,26,96.3,Mobile,0
B,32,106.99,Desktop,1
A,54,90.7,Desktop,0
B,23,141.44,Desktop,0
B,29,135.72,Mobile,0
A,44,95.59,Mobile,0
B,24,75.67,Mobile,0
A,45,96.41,Mobile,1
B,29,166.88,Desktop,1
B,59,102.89,Desktop,0
A,52,66.73,Mobile,0
B,19,89.98,Desktop,0
B,43,84.63,Desktop,0
B,37,125.66,Desktop,0
B,42,76.07,Mobile,0
B,38,124.83,Desktop,0
A,18,79.06,Mobile,0
B,45,90.65,Desktop,0
A,55,84.91,Mobile,0
B,30,68.06,Desktop,0
A,47,89.52,Desktop,1
A,27,110.81,Desktop,0
B,39,78.87,Mobile,0
B,46,102.85,Desktop,0
B,22,55.7,Mobile,0
A,25,94.94,Desktop,0
B,28,103.95,Mobile,0
A,43,96.76,Mobile,1
A,36,144.82,Desktop,0
A,36,85.81,Desktop,0
B,47,78.11,Mobile,0
B,53,107.44,Mobile,0
A,59,88.76,Desktop,0
A,26,74.19,Desktop,0
B,24,50.08,Mobile,0
A,35,116.08,Mobile,0
B,26,103.59,Desktop,1
A,23,127.22,Mobile,0
B,23,105.45,Mobile,0
A,39,108.66,Desktop,0
B,34,119.83,Mobile,0
A,32,118.79,Mobile,1
B,26,107.18,Desktop,0
B,23,102.94,Desktop,0
A,40,90.36,Mobile,0
A,34,65.4,Mobile,0
B,49,103.14,Desktop,0
A,49,85.88,Mobile,0
B,54,119.6,Desktop,0
A,20,102.04,Desktop,1
B,33,101.38,Desktop,0
B,19,126.71,Desktop,0
B,20,106.35,Mobile,0
B,58,86.18,Desktop,0
B,31,90.37,Mobile,0
B,31,62.49,Desktop,0
A,47,134.17,Desktop,0
A,57,79.48,Desktop,0
A,44,95.82,Desktop,0
B,34,95.1,Desktop,0
B,56,63.11,Desktop,0
B,26,114.42,Mobile,0
B,53,127.39,Mobile,0
A,27,95.3,Desktop,0
A,46,100.68,Desktop,0
B,21,74.17,Mobile,0
A,38,105.15,Desktop,0
A,54,90.28,Mobile,0
B,19,90.61,Desktop,0
A,32,97.09,Desktop,1
B,45,130.71,Desktop,1
A,42,126.42,Mobile,0
B,43,48.82,Desktop,0
B,26,84.08,Mobile,0
B,47,103.6,Desktop,0
B,26,70.22,Desktop,0
A,18,75.89,Mobile,0
B,29,114.84,Mobile,0
B,30,93.49,Desktop,0
B,31,127.5,Mobile,0
A,27,72.5,Mobile,0
B,34,115.9,Mobile,1
A,34,125.47,Desktop,0
B,48,98.07,Mobile,0
A,43,117.43,Mobile,0
A,52,99.1,Desktop,0
B,53,111.76,Mobile,0
A,28,100.17,Mobile,0
B,33,80.67,Mobile,0
B,46,103.9,Desktop,1
B,35,80.0,Desktop,1
A,28,85.29,Mobile,0
A,28,101.99,Desktop,0
B,26,109.04,Mobile,0
B,42,85.06,Desktop,0
A,49,75.18,Mobile,1
B,51,119.61,Mobile,0
B,20,110.97,Mobile,0
B,31,80.21,Mobile,0
A,57,67.17,Mobile,0
A,42,104.88,Desktop,0
A,33,98.91,Mobile,0
B,53,104.27,Desktop,0
B,26,114.32,Desktop,1
B,21,106.96,Desktop,0
A,19,73.19,Desktop,0
B,42,108.5,Mobile,0
B,39,97.48,Desktop,0
B,22,119.82,Mobile,0
B,38,94.03,Desktop,0
A,27,61.47,Mobile,0
A,40,91.42,Desktop,0
B,44,85.12,Mobile,0
A,47,101.78,Mobile,0
A,21,113.41,Mobile,0
B,23,83.61,Desktop,0
B,43,131.18,Mobile,0
A,27,97.89,Desktop,0
B,22,68.33,Desktop,0
A,56,103.97,Mobile,0
B,54,61.48,Desktop,0
A,57,116.4,Desktop,0
B,18,72.43,Desktop,0
A,51,74.61,Desktop,0
A,25,115.03,Mobile,0
A,38,99.9,Mobile,1
B,48,103.09,Mobile,0
A,40,92.98,Mobile,0
A,28,95.2,Mobile,0
B,33,125.24,Desktop,0
B,44,84.25,Mobile,0
A,24,94.83,Desktop,0
A,41,78.6,Desktop,0
B,49,87.99,Mobile,0
B,52,86.64,Desktop,0
B,48,100.23,Desktop,1
B,46,87.19,Desktop,0
B,21,89.82,Desktop,0
A,52,82.27,Mobile,0
B,28,75.26,Mobile,0
A,51,87.09,Desktop,0
A,56,82.45,Desktop,0
A,32,99.07,Mobile,0
B,31,79.31,Mobile,0
A,38,120.57,Desktop,0
A,24,79.59,Desktop,0
B,34,100.6,Desktop,0
A,59,99.11,Desktop,0
A,35,97.2,Mobile,0
B,31,88.66,Desktop,0
A,55,138.82,Desktop,0
A,46,119.29,Mobile,1
A,27,126.07,Desktop,0
B,34,115.21,Mobile,0
B,49,109.06,Desktop,0
B,37,93.41,Desktop,0
A,34,88.04,Desktop,0
A,24,127.95,Desktop,0
B,56,110.77,Mobile,1
A,47,105.06,Mobile,1
A,55,76.83,Mobile,0
B,57,105.61,Desktop,1
B,58,109.16,Mobile,0
A,27,108.28,Desktop,0
A,49,80.02,Desktop,0
A,43,66.85,Mobile,0
B,34,97.14,Mobile,0
B,18,75.21,Mobile,0
B,56,102.02,Mobile,0
B,43,78.62,Mobile,1
A,47,72.17,Desktop,0
B,26,86.77,Desktop,0
B,50,94.67,Mobile,0
B,43,122.92,Desktop,0
B,59,94.33,Desktop,0
B,27,94.51,Mobile,0
A,59,123.47,Desktop,0
A,49,100.72,Mobile,1
B,56,95.62,Mobile,0
A,59,121.28,Mobile,0
B,50,105.72,Desktop,0
B,44,109.35,Mobile,0
A,46,111.51,Mobile,0
A,36,91.5,Desktop,0
B,35,112.07,Desktop,1
B,52,114.25,Desktop,0
B,45,102.21,Desktop,0
A,55,119.85,Desktop,0
B,27,101.57,Mobile,1
B,20,129.25,Desktop,0
B,59,88.64,Mobile,0
A,46,96.67,Desktop,0
B,33,86.34,Mobile,0
B,53,115.46,Mobile,0
A,18,80.05,Mobile,0
B,35,107.15,Mobile,0
B,21,109.86,Mobile,0
A,22,123.93,Mobile,0
B,38,103.45,Desktop,0
A,21,99.72,Desktop,0
A,37,123.32,Desktop,0
B,36,97.41,Desktop,0
B,52,94.25,Desktop,0
B,41,68.49,Mobile,0
B,37,106.7,Mobile,1
A,45,105.67,Mobile,0
B,55,107.39,Desktop,0
A,41,125.04,Desktop,0
B,37,98.83,Mobile,1
B,41,89.17,Desktop,0
B,23,120.16,Mobile,0
A,55,102.83,Desktop,0
B,42,86.65,Desktop,0
B,49,98.08,Mobile,0
B,34,90.72,Mobile,0
B,34,91.16,Desktop,0
A,22,138.52,Desktop,0
B,34,109.54,Desktop,0
A,26,72.22,Desktop,0
A,37,111.42,Desktop,0
A,19,88.92,Mobile,0
A,36,121.78,Desktop,0
A,26,116.17,Desktop,0
A,57,75.05,Mobile,0
B,36,87.73,Desktop,0
A,21,94.19,Desktop,0
A,23,129.53,Mobile,0
A,53,115.17,Desktop,1
B,28,107.68,Desktop,1
B,38,123.94,Desktop,0
A,59,86.09,Desktop,0
B,42,143.49,Mobile,0
A,47,82.68,Mobile,0
A,35,89.31,Desktop,0
B,42,117.42,Desktop,0
A,38,91.36,Desktop,0
B,40,109.93,Mobile,0
B,47,67.38,Desktop,0
A,35,88.76,Mobile,1
A,50,110.83,Mobile,0
B,52,77.42,Mobile,0
A,39,60.29,Desktop,0
A,41,105.52,Mobile,0
A,40,138.05,Desktop,0
B,18,87.87,Desktop,0
B,32,93.75,Mobile,0
A,45,110.1,Desktop,0
B,59,95.45,Desktop,0
B,37,119.36,Desktop,0
B,53,115.55,Desktop,0
B,33,62.55,Mobile,0
B,22,72.88,Desktop,1
A,32,81.33,Desktop,0
A,19,95.92,Desktop,0
A,41,117.23,Desktop,0
B,30,95.54,Mobile,0
B,40,77.02,Mobile,0
A,29,102.19,Mobile,0
B,50,62.93,Desktop,0
A,42,96.72,Mobile,0
A,52,129.38,Mobile,0
A,52,77.71,Mobile,0
B,18,102.58,Mobile,0
B,21,92.92,Desktop,0
A,48,42.93,Mobile,0
A,45,77.66,Mobile,0
A,28,90.76,Mobile,1
A,49,115.19,Desktop,0
B,19,92.79,Desktop,0
B,30,116.95,Desktop,0
A,34,142.64,Desktop,0
A,21,90.84,Mobile,0
B,48,111.98,Desktop,0
B,55,110.97,Desktop,0
A,20,99.82,Mobile,0
A,29,80.56,Mobile,0
A,35,90.29,Desktop,0
B,47,71.47,Desktop,0
B,28,90.09,Mobile,0
B,41,105.31,Desktop,0
A,38,103.14,Mobile,0
A,52,106.09,Mobile,1
B,21,131.48,Desktop,0
B,43,72.73,Mobile,1
A,25,86.08,Mobile,0
B,41,127.87,Mobile,0
B,29,97.31,Mobile,0
A,22,113.63,Mobile,0
B,33,93.39,Mobile,1
A,49,115.63,Desktop,0
A,46,100.1,Mobile,0
A,50,96.7,Mobile,0
A,58,103.06,Mobile,0
A,31,87.06,Desktop,0
A,42,121.89,Mobile,1
A,25,111.22,Desktop,0
B,44,95.6,Mobile,0
A,52,111.97,Mobile,0
A,39,103.91,Mobile,0
B,24,115.88,Desktop,0
B,53,82.88,Mobile,0
B,29,105.46,Desktop,0
A,26,86.58,Desktop,0
B,52,90.75,Desktop,0
A,56,98.64,Mobile,0
A,36,112.6,Mobile,0
A,45,111.93,Desktop,0
A,46,50.46,Desktop,0
B,25,99.02,Desktop,0
B,44,102.86,Desktop,0
A,22,93.05,Desktop,0
A,46,86.45,Mobile,0
A,52,117.75,Mobile,1
B,50,84.41,Desktop,0
A,49,96.52,Mobile,0
A,38,72.4,Mobile,0
B,27,74.56,Mobile,0
B,59,104.25,Desktop,1
A,33,110.28,Mobile,0
B,28,100.25,Desktop,0
B,36,93.17,Desktop,0
A,30,102.6,Desktop,0
B,32,106.25,Desktop,0
A,59,111.14,Mobile,0
B,53,128.45,Desktop,0
A,49,92.39,Desktop,0
A,36,94.81,Mobile,0
A,32,117.84,Desktop,0
B,55,93.67,Desktop,0
A,39,63.57,Mobile,0
B,30,106.81,Desktop,0
A,37,129.84,Desktop,0
A,32,90.38,Desktop,0
B,24,41.22,Desktop,1
A,39,69.77,Mobile,1
A,37,81.01,Desktop,0
B,36,83.14,Mobile,0
A,44,124.16,Mobile,0
A,25,119.41,Mobile,0
A,35,135.72,Desktop,0
A,27,127.53,Mobile,0
B,58,106.71,Mobile,0
B,52,98.46,Mobile,0
A,32,74.0,Desktop,0
B,40,66.38,Desktop,0
A,29,91.44,Desktop,0
B,44,66.64,Mobile,0
A,23,129.87,Mobile,1
A,41,94.69,Mobile,0
A,39,101.19,Desktop,0
A,26,117.64,Desktop,0
A,27,104.93,Desktop,0
A,20,66.63,Mobile,0
B,23,90.17,Desktop,1
A,43,78.74,Desktop,0
B,31,112.52,Desktop,0
A,53,100.97,Desktop,0
B,59,94.56,Desktop,0
B,36,99.65,Mobile,1
B,56,95.33,Desktop,0
A,40,82.0,Desktop,0
A,22,89.91,Desktop,0
B,32,81.1,Desktop,0
A,47,107.75,Desktop,0
B,50,115.27,Mobile,0
A,55,74.54,Desktop,0
B,36,132.42,Mobile,0
B,22,124.54,Mobile,0
A,26,75.61,Mobile,0
B,24,99.17,Mobile,0
A,41,80.88,Desktop,0
B,58,85.5,Desktop,0
B,33,52.22,Desktop,0
A,54,49.18,Mobile,1
A,27,96.49,Desktop,0
A,38,109.49,Desktop,0
B,38,84.52,Mobile,1
A,32,93.73,Mobile,0
B,30,101.85,Desktop,0
B,24,128.83,Desktop,1
A,57,111.73,Mobile,0
A,25,106.89,Desktop,0
B,58,90.19,Desktop,0
B,55,117.08,Desktop,0
A,19,76.93,Mobile,0
A,54,114.58,Desktop,0
A,39,137.54,Mobile,0
A,21,85.37,Desktop,0
A,24,82.05,Mobile,0
B,18,90.82,Desktop,0
B,36,99.47,Mobile,0
B,47,134.15,Mobile,0
B,19,85.27,Mobile,0
A,30,89.54,Desktop,0
A,45,44.94,Mobile,0
A,31,91.31,Desktop,0
B,20,71.88,Mobile,1
B,33,108.32,Mobile,1
A,42,100.1,Desktop,0
A,20,130.07,Desktop,0
B,51,127.52,Mobile,0
B,20,105.96,Desktop,1
A,58,107.6,Desktop,1
A,46,98.47,Mobile,0
B,57,88.03,Mobile,0
A,36,89.64,Desktop,0
A,37,100.38,Mobile,0
A,38,120.38,Mobile,0
B,37,97.22,Desktop,0
B,45,105.22,Desktop,0
B,44,109.9,Desktop,0
B,42,102.31,Desktop,0
B,19,67.0,Desktop,0
B,41,137.27,Desktop,0
B,50,98.1,Mobile,0
A,36,109.6,Desktop,0
A,43,101.69,Desktop,0
A,58,53.14,Desktop,0
A,20,101.71,Mobile,0
A,44,64.87,Mobile,0
A,31,78.24,Mobile,0
A,37,112.49,Desktop,0
B,52,106.66,Mobile,0
B,40,91.14,Mobile,0
A,42,77.54,Desktop,0
A,21,97.33,Mobile,0
